R,G,B,Character
0,0,0, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
39,38,30, 
40,45,50,N
40,52,72,N
40,52,72,N
40,52,72,N
40,52,73,N
40,52,72,N
39,38,30,N
39,38,30,N
40,52,72,N
40,52,72,N
39,38,30,N
39,38,30,N
39,38,30,N
39,38,30,N
39,38,30,N
39,40,36,E
40,52,72,E
39,41,36,E
39,38,30,E
39,38,30,E
39,38,30,E
39,38,30,E
39,40,36,U
40,52,72,U
39,44,46,U
39,39,30,U
40,48,62,U
40,52,72,U
39,38,30,U
39,38,30,U
40,52,72,U
40,52,72,U
40,52,73,U
40,52,72,U
40,52,72,U
40,52,72,U
39,38,30,U
39,38,30,U
39,38,30,U
39,38,30,U
39,38,30,U
39,38,30,U
40,52,72,R
40,52,72,R
39,38,30,R
39,38,30,R
40,52,72,R
40,52,73,R
40,52,72,R
40,52,72,R
40,52,72,R
39,38,30,R
39,38,30,R
40,52,72,R
39,44,50,R
39,38,30,R
39,38,30,R
39,38,30,R
39,38,30,R
39,39,30,R
40,52,73,O
40,52,72,O
40,52,73,O
40,52,72,O
40,52,72,O
40,52,72,O
40,39,30,O
40,39,30,O
40,52,72,O
40,52,73,O
40,52,72,O
40,52,72,O
40,52,72,O
40,52,72,O
40,39,30,O
40,39,30,O
40,52,72,O
40,52,72,O
40,52,72,O
40,52,73,O
40,52,73,O
40,39,32,O
40,39,30,O
40,39,30,O
40,39,30,O
40,39,30,O
40,39,32,P
40,52,72,P
40,50,65,P
40,39,30,P
40,48,58,P
40,52,72,P
40,52,72,P
40,52,73,P
40,52,72,P
40,52,72,P
40,39,30,P
40,39,30,P
40,52,72,P
40,52,73,P
40,52,73,P
40,52,72,P
40,52,73,P
40,39,30,P
40,43,42,P
41,53,72,P
41,40,31,P
41,40,31,P
41,40,31,P
41,40,31,P
40,39,31,P
40,39,31,P
41,48,58,L
41,53,72,L
40,40,33,L
40,39,30,L
41,53,72,L
41,53,72,L
40,53,72,L
41,53,72,L
41,53,72,L
40,53,72,L
40,39,30,L
40,39,30,L
40,52,73,L
40,52,72,L
40,39,30,L
40,39,30,L
40,52,72,L
40,50,65,L
40,39,30,L
40,39,30,L
40,39,30,L
40,39,30,L
40,39,30,L
40,42,41,A
40,52,73,A
40,47,55,A
40,39,30,A
40,44,46,A
40,52,72,A
40,52,73,A
40,52,73,A
40,52,72,A
40,52,73,A
40,41,37,A
40,39,30,A
40,39,30,A
40,39,30,A
40,39,30,A
40,39,30,A
40,50,66,S
40,52,72,S
40,39,30,S
40,41,39,S
40,52,72,S
40,47,58,S
40,39,30,S
40,45,51,S
40,52,72,S
39,41,37,S
39,38,30,S
39,38,30,S
39,38,30,S
39,38,30,S
39,38,30,S
39,51,71,T
39,51,72,T
39,51,71,T
39,51,71,T
39,51,71,T
39,51,72,T
39,38,29,T
39,38,29,T
39,38,29,T
39,38,29,T
39,38,29,T
39,41,38,I
39,52,71,I
39,47,56,I
39,38,30,I
39,45,51,I
40,51,68,I
39,38,30,I
39,38,30,I
39,38,30,I
39,38,30,I
39,38,30,I
40,52,72,C
39,52,72,C
39,51,72,C
39,51,72,C
39,51,72,C
39,51,71,C
39,38,29,C
39,38,29,C
39,51,72,C
39,48,61,C
39,38,29,C
39,46,54,C
39,51,71,C
39,51,71,C
39,51,72,C
39,51,71,C
39,45,51,C
39,38,29,C
39,49,64,C
39,51,71,C
39,38,29,C
39,38,30,C
39,38,29,C
39,38,30,C
39,38,29,C
39,38,30,I
39,51,72,I
39,51,71,I
39,38,29,I
39,38,29,I
39,51,71,I
39,49,67,I
39,38,29,I
38,38,29,I
39,38,29,I
39,38,29,I
38,38,29,I
39,42,44,T
39,51,71,T
39,51,71,T
39,51,71,T
39,51,71,T
39,49,63,T
39,38,29,T
39,38,29,T
39,38,29,T
39,38,29,T
39,38,29,T
39,39,33,Y
39,51,71,Y
39,51,71,Y
39,51,71,Y
39,51,72,Y
39,51,71,Y
39,41,38,Y
38,38,29,Y
39,50,68,Y
39,51,71,Y
39,38,29,Y
39,38,29,Y
39,51,71,Y
